"city"	"lon"	"lat"
"1"	""	NA	NA
"2"	"10 Downing Street"	-0.1276248	51.5033635
"3"	"Akron, Ohio"	-81.5190053	41.0814447
"4"	"Al Hummar, the official offices of His Majesty King Abdullah II of Jordan"	NA	NA
"5"	"Alabama"	-86.902298	32.3182314
"6"	"Albany, New York"	-73.7562317	42.6525793
"7"	"Amman, Jordan"	35.9456951	31.9565783
"8"	"Andrews Air Force Base"	-76.8836261	38.7965203
"9"	"Annapolis, Maryland"	-76.4921829	38.9784453
"10"	"Asheville Regional Airport"	-82.5376742	35.4354641
"11"	"Asheville, North"	-82.5514869	35.5950581
"12"	"Athens, Ohio"	-82.1012554	39.3292396
"13"	"Atlanta, Georgia"	-84.3879824	33.7489954
"14"	"Atlantic City, New Jersey"	-74.4229266	39.3642834
"15"	"Aurora, Colorado"	-104.8319195	39.7294319
"16"	"Austin, Texas"	-97.7430608	30.267153
"17"	"Bali, Indonesia"	115.188916	-8.4095178
"18"	"Baltimore, Maryland"	-76.6121893	39.2903848
"19"	"Bethesda Maryland"	-77.0947092	38.984652
"20"	"Bethesda, Maryland"	-77.0947092	38.984652
"21"	"Boca Raton, Florida"	-80.1289321	26.3683064
"22"	"Boston, Massachusetts"	-71.0597732	42.3584308
"23"	"Bowling Green, Ohio"	-83.6513229	41.3747744
"24"	"Brasilia, Brazil"	-47.8825479	-15.7941454
"25"	"Buckley Air Force Base"	-104.7580569	39.709999
"26"	"Burlington, Vermont"	-73.212072	44.4758825
"27"	"California"	-119.4179324	36.778261
"28"	"Cambridge, Maryland"	-76.0788292	38.5631744
"29"	"Camp David"	-77.4658948	39.6475373
"30"	"Canberra, Australia"	149.1286843	-35.2819998
"31"	"Cape Canaveral, Florida"	-80.6036111	28.3883333
"32"	"Cape Cod, Massachusetts"	-70.3209113	41.6990958
"33"	"Cartagena, Colombia"	-75.5335769	10.41373
"34"	"Cedar Rapids, IA"	-91.6656232	41.9778795
"35"	"Cedar Rapids, Iowa"	-91.6656232	41.9778795
"36"	"Charlotte, North Carolina"	-80.8431267	35.2270869
"37"	"Charlottesville, Virginia"	-78.4766781	38.0293059
"38"	"Chicago"	-87.6297982	41.8781136
"39"	"Chicago, Illinois"	-87.6297982	41.8781136
"40"	"Chisinau, Moldova"	28.9166667	47
"41"	"Cincinnati, Ohio"	-84.5120196	39.1031182
"42"	"City Hall"	11.9688029	51.4969802
"43"	"Cleveland, OH"	-81.6943605	41.49932
"44"	"Cleveland, Ohio"	-81.6943605	41.49932
"45"	"Colorado"	-105.7820674	39.5500507
"46"	"Colorado Springs, Colorado"	-104.8213634	38.8338816
"47"	"Columbus, OH"	-82.9987942	39.9611755
"48"	"Columbus, Ohio"	-82.9987942	39.9611755
"49"	"Connecticut"	-73.087749	41.6032207
"50"	"Cote D’Azur Airport"	7.2061525	43.659536
"51"	"Dallas, TX"	-96.8004511	32.7801399
"52"	"Dallas, Texas"	-96.8004511	32.7801399
"53"	"Darwin, Australia"	130.8417772	-12.4628271
"54"	"Dayton, Ohio"	-84.1916069	39.7589478
"55"	"Deauville, France"	0.075122	49.353976
"56"	"Decatur, Georgia"	-84.2963123	33.7748275
"57"	"Denver, CO"	-104.9847179	39.737567
"58"	"Denver, Colorado"	-104.9847179	39.737567
"59"	"Des Moines, Iowa"	-93.6091064	41.6005448
"60"	"Detroit, MI"	-83.0457538	42.331427
"61"	"Detroit, Michigan"	-83.0457538	42.331427
"62"	"Diamond Island Convention Center and is welcomed to the East Asia Summit Dinner"	NA	NA
"63"	"Dublin, Ireland"	-6.2603097	53.3498053
"64"	"El Paso, Texas"	-106.4968055	31.7699559
"65"	"Espace Riviera"	NA	NA
"66"	"Espace Riviera and is greeted by President Nicolas Sarkozy of France"	NA	NA
"67"	"Everett, Washington"	-122.2020794	47.9789848
"68"	"Fairfax, Virginia"	-77.3063733	38.8462236
"69"	"Fort Campbell, Kentucky"	-87.4773902	36.6634467
"70"	"Fort Collins, Colorado"	-105.084423	40.5852602
"71"	"Fort Drum, New York"	-75.7487779	44.0580482
"72"	"Fort Myers, Florida"	-81.8723084	26.640628
